,Mano,Grande,Stddev_grande,Chica,Stddev_chica,Pares_1,Stddev_pares_1,Pares_2,Stddev_pares_2,Juego_1,Stddev_juego_1,Juego_2,Stddev_juego_2,Punto,Stddev_punto,Grande_value,Chica_value,Pares_value,Juego_value,Pares_repr,Juego_repr,SampleAppearances,Muestras_total,Muestras_pares_1,Muestras_pares_2,Muestras_juego_1,Muestras_juego_2,Muestras_punto,Samples,Sample_size
68,R R 6 5 (2),75.8993,0.788013,0.101625,0.0587197,68.7762,0.853206,65.9059,0.912051,91.0987,0.52457,85.0658,0.85045,0.0,0.0,8843.3,3487.7,88.3,3100.3, R R X X (2), 31 (2),600000,1764731805,1764731805,1616162340,1764731805,1051842961,0,600000,600000
69,C S S A (4),2.07756,0.40132,5.73046,0.655671,35.0768,1.34615,30.0375,1.34197,78.3492,1.16157,61.4907,1.82871,0.0,0.0,7661.1,1666.9,66.1,3100.1, S S X X (4), 31 (4),600000,756312015,756312015,701835565,756312015,425214058,0,600000,600000
70,5 5 5 5 (3),0.0,0.0,0.219159,2.03218,86.7156,14.6576,86.0302,15.4337,0.0,0.0,0.0,0.0,0.745919,6.62224,3333.2,3332.8,3333.2,20.2, 5 5 5 5 (3), 20 (3),599161,3940586,3940586,3747448,2788565,829643,1152021,600000,600000
71,R R R 6 (2),99.312,0.215354,0.000527234,0.00598669,89.3657,0.805608,88.3028,0.880807,62.851,1.26143,30.4322,1.64414,0.0,0.0,8884.3,4887.7,888.3,36.3, R R R X (2), 36 (2),600000,882416162,882416162,802232698,882416162,471206792,0,600000,600000
72,R S 7 A (3),23.6858,0.518645,7.47351,0.320732,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.0594,0.9508,8651.2,1567.8,0.2,28.2, X X X X (3), 28 (3),600000,4033755271,3684458239,2352326488,2432659770,533362504,1601095501,600000,600000
73,R C C A (4),55.3967,0.990431,4.55704,0.415722,46.1996,0.993001,41.3341,1.02457,78.3485,0.820914,61.4903,1.29334,0.0,0.0,8771.1,1777.9,77.1,3100.1, C C X X (4), 31 (4),600000,1512636432,1512636432,1387184342,1512636432,850459678,0,600000,600000
74,C C 6 5 (4),2.36574,0.606369,0.115779,0.135613,37.1337,1.92605,32.9598,1.9337,75.3135,1.71966,58.584,2.54536,0.0,0.0,7743.1,3476.9,77.1,3100.1, C C X X (4), 31 (4),600000,378124590,378124590,354582011,378124590,225385845,0,600000,600000
75,R C 5 5 (3),37.7904,1.36363,0.203738,0.127131,23.4891,1.19598,17.5496,1.11322,0.0,0.0,0.0,0.0,90.7305,1.29599,8733.2,3377.8,33.2,30.2, 5 5 X X (3), 30 (3),600000,756356278,756356278,701869739,454994233,99325147,301362045,600000,600000
76,S S 4 4 (1),0.204663,0.294881,2.34834,0.985701,90.6345,1.89716,90.0428,2.01074,0.0,0.0,0.0,0.0,78.4359,4.37473,6622.4,2265.6,6622.4,28.4, S S 4 4 (1), 28 (1),600000,141823996,141823996,133395968,88396096,20595316,53427900,600000,600000
77,R R 7 5 (4),80.1084,0.73523,0.0500645,0.0412124,53.9916,0.919463,49.7623,0.964079,70.1232,0.844442,48.797,1.20535,0.0,0.0,8853.1,3587.9,88.1,320.1, R R X X (4), 32 (4),600000,1764736975,1764736975,1616171029,1764736975,1029718527,0,600000,600000
78,R 5 5 4 (2),5.74336,0.654105,2.08232,0.402734,21.5432,1.15803,15.4537,1.05676,0.0,0.0,0.0,0.0,11.9095,1.58629,8332.3,2337.7,33.3,24.3, 5 5 X X (2), 24 (2),600000,756277336,756277336,701805603,505649819,134548513,250627517,600000,600000
79,R C C 6 (3),55.8263,1.39782,0.00086766,0.00830268,45.034,1.40174,40.7676,1.43717,61.6764,1.37146,28.2401,1.73865,0.0,0.0,8774.2,4777.8,77.2,36.2, C C X X (3), 36 (3),600000,756310856,756310856,701834751,756310856,403909812,0,600000,600000
80,S S S 5 (1),0.216997,0.456431,0.0435879,0.204961,78.8873,3.99942,77.6207,4.20646,59.6734,4.80316,25.5786,5.83047,0.0,0.0,6663.4,3665.6,666.4,35.4, S S S X (1), 35 (1),600000,63024503,63024503,59457782,63024503,34150410,0,600000,600000
