,Mano,Chica,Stddev_chica,Chica_value
180,R C 6 A (3),10.1742,0.521605,1477.8
1226,R C 6 A (4),9.99507,0.516968,1477.9
813,R R 6 A (1),9.8406,0.548819,1487.6
945,R R 6 A (2),9.71481,0.544885,1487.7
1254,R R 6 A (3),9.58817,0.542411,1487.8
1316,R R 6 A (4),9.46126,0.538746,1487.9
1013,7 7 7 A (1),8.40158,2.72133,1554.6
624,7 7 7 A (2),8.40585,2.72741,1554.7
612,7 7 7 A (3),8.40734,2.72089,1554.8
50,7 7 7 A (4),8.40057,2.72043,1554.9
42,S 7 7 A (1),8.40165,1.10713,1555.6
727,S 7 7 A (2),8.39358,1.10582,1555.7
336,S 7 7 A (3),8.39303,1.10508,1555.8
884,S 7 7 A (4),8.38182,1.10211,1555.9
747,C 7 7 A (1),8.36855,1.10142,1556.6
658,C 7 7 A (2),8.36865,1.10237,1556.7
866,C 7 7 A (3),8.36127,1.10176,1556.8
837,C 7 7 A (4),8.3565,1.10476,1556.9
585,R 7 7 A (1),8.34613,0.778636,1557.6
280,R 7 7 A (2),8.32621,0.77894,1557.7
830,R 7 7 A (3),8.31056,0.777142,1557.8
713,R 7 7 A (4),8.29802,0.775732,1557.9
681,S S 7 A (1),8.09249,1.08649,1565.6
690,S S 7 A (2),8.08587,1.08766,1565.7
673,S S 7 A (3),8.07611,1.08589,1565.8
174,S S 7 A (4),8.06897,1.08797,1565.9
1066,C S 7 A (1),8.02894,0.663062,1566.6
557,C S 7 A (2),7.96266,0.661088,1566.7
215,C S 7 A (3),7.89744,0.658212,1566.8
939,C S 7 A (4),7.83341,0.656373,1566.9
1199,R S 7 A (1),7.76988,0.461638,1567.6
478,R S 7 A (2),7.62143,0.457902,1567.7
734,R S 7 A (3),7.47326,0.45426,1567.8
451,R S 7 A (4),7.32821,0.450092,1567.9
86,C C 7 A (1),7.12073,1.02467,1576.6
875,C C 7 A (2),7.11198,1.02314,1576.7
873,C C 7 A (3),7.10873,1.02588,1576.8
401,C C 7 A (4),7.09965,1.02407,1576.9
465,R C 7 A (1),7.06098,0.441468,1577.6
316,R C 7 A (2),6.91853,0.437738,1577.7
491,R C 7 A (3),6.77834,0.433774,1577.8
845,R C 7 A (4),6.64039,0.4306,1577.9
1304,R R 7 A (1),6.52194,0.455833,1587.6
948,R R 7 A (2),6.42433,0.452578,1587.7
1012,R R 7 A (3),6.32638,0.448566,1587.8
623,R R 7 A (4),6.22955,0.446136,1587.9
898,S S S A (1),5.75401,2.28449,1665.6
1277,S S S A (2),5.74835,2.28373,1665.7
1275,S S S A (3),5.74617,2.2838,1665.8
788,S S S A (4),5.75352,2.28311,1665.9
377,C S S A (1),5.75226,0.929365,1666.6
291,C S S A (2),5.74443,0.925251,1666.7
634,C S S A (3),5.7359,0.926017,1666.8
